TEST_ITEM_COMMUNICATIONKEY,BLOCK_SIZE,WINDOW_SIZE,TWIN_NUMBER,MEAN_SAMPLE,MEAN_TEST,BIAS,RESAMPLING_MEAN_TWIN,RESAMPLING_MEAN_TEST,RESAMPLING_VARIANCE_TWIN,RESAMPLING_VARIANCE_TEST,TARGET_VARIANCE,CV,RMSE,MAPE,MPE,MAE,WASSERSTEIN
716679764,1,1,9,673.3681563947706,372.0,301.3681563947706,673.3681563947706,364.3296733407573,9299.84546883484,235.24849357845304,2418375.632573041,0.14321393948319794,316.4215718904414,0.8101440039598264,0.8101294526741143,301.37356947305545,319.5049747192376
718909161,1,1,6,369.5053410546303,426.0,-56.49465894536968,369.5053410546303,420.9843652377439,2260.322589825087,311.5526696273646,129798.02415858961,0.12866620521166,73.83745038379051,0.1466136808283749,-0.13261657029429505,62.457428032887705,59.54099158579773
735286989,1,1,7,580.2165056221437,530.0,50.2165056221437,580.2165056221437,529.4159800894331,2271.2747154841754,429.09126838944115,106975.84592499721,0.082138119161766,69.2312946028237,0.10817769698418811,0.09474812381536556,57.3341794016197,57.5112771951573
752591985,1,1,6,308.3237385460068,18.0,290.3237385460068,308.3237385460068,19.957244052049766,2226.247926661034,8.374549042370052,2184688.7838486317,0.15303113547038955,294.1328289905619,16.129096585889265,16.129096585889265,290.3237385460068,291.74992638234073
756589959,1,1,5,446.6890844828211,198.0,248.6890844828211,446.6890844828211,194.54450162411928,1660.356612604248,101.53342475137912,1449915.189090991,0.0912211090699777,252.00519310821352,1.2560054771859646,1.2560054771859646,248.68908448282104,254.00372074690284
716679764,1,5,9,672.5480023085715,372.0,300.54800230857154,672.5480023085715,363.1607134597715,9756.354870219466,478.57727868625665,2417475.9732105923,0.14686574318278162,316.3628558505132,0.8079247373886331,0.8079247373886331,300.54800230857154,318.80877456793667
718909161,1,5,6,366.6291513775234,426.0,-59.370848622476615,366.6291513775234,419.5352164849447,2348.2875892003785,581.0544105863902,139826.5618532277,0.13217479571541088,76.6367095806795,0.1533248633259035,-0.1393681892546398,65.31639177683489,58.263309232851704
735286989,1,5,7,583.0877861120257,530.0,53.0877861120257,583.0877861120257,529.9482736992308,2407.062222895216,750.3394688529802,116627.09474836658,0.08414139618125581,72.28675713553213,0.11267030054011339,0.10016563417363346,59.71525928626009,57.39755001050521
752591985,1,5,6,309.9036664851172,18.0,291.9036664851172,309.9036664851172,17.965627175792395,2352.171334770471,19.25296450718473,2211097.257776718,0.1564976289617437,295.90525821996636,16.216870360284286,16.216870360284286,291.9036664851172,295.2522797035447
756589959,1,5,5,446.8334506886755,198.0,248.8334506886755,446.8334506886755,194.6401396024644,1765.2284185981448,168.45524375679602,1453948.8939394504,0.09402747583262275,252.35553213716486,1.256734599437755,1.256734599437755,248.8334506886755,253.85994594012874
716679764,1,9,9,677.2315378246644,372.0,305.23153782466443,677.2315378246644,362.3676990877419,9912.599559177861,573.8769146373164,2489780.4039148684,0.1470132933640254,321.05901520123587,0.8205594291833149,0.8205148866254421,305.2481076561932,323.818194750826
718909161,1,9,6,367.97736219395307,426.0,-58.02263780604693,367.97736219395307,418.13137419242236,2378.723202216613,667.3533282600122,136782.7132273303,0.13254118601978127,75.79808506940212,0.15106373320449235,-0.13620337513156555,64.35315034511373,55.17561054824001
735286989,1,9,7,583.567001801158,530.0,53.56700180115797,583.567001801158,529.703614791096,2462.0416567909215,841.7126474148846,118994.9314826971,0.08502702266522695,73.01688392937747,0.1138871630956492,0.10106981471916612,60.36019644069408,57.67872230078381
752591985,1,9,6,310.1217476123903,18.0,292.1217476123903,310.1217476123903,17.325616643366036,2326.816666240177,21.919955778470932,2213673.402298585,0.15554242309456656,296.0775778311442,16.228985978466127,16.228985978466127,292.12174761239027,296.01898311863937
756589959,1,9,5,447.43134053334,198.0,249.43134053334,447.43134053334,194.94936130031252,1810.6979145813516,193.69087807380353,1461788.3428140972,0.09510352176240439,253.03496113154083,1.2597542451178787,1.2597542451178787,249.43134053333998,254.10155362337076
716679764,1,13,9,684.1226666668966,372.0,312.12266666689663,684.1226666668966,360.09814781244233,9636.339554860902,680.3851452628701,2585868.872806874,0.14349014269806165,327.1955051679585,0.8390452588038042,0.8390394265239156,312.12483627501524,331.9505908464966
718909161,1,13,6,369.11933542774597,426.0,-56.880664572254034,369.11933542774597,417.2915773712763,2454.6999091510784,720.055996260908,135467.1183654886,0.13422468950469818,75.43281720400182,0.15040615710632319,-0.13352268678932877,64.07302292729368,53.28035702236137
735286989,1,13,7,585.5361136043157,530.0,55.53611360431569,585.5361136043157,530.8586680489882,2516.1355826569434,882.3631279245119,124997.59530830095,0.08566695570252605,74.83579021383018,0.11668645456922232,0.10478512000814308,61.843820921687815,58.38756652827467
752591985,1,13,6,310.4738914362893,18.0,292.4738914362893,310.4738914362893,16.903862324275675,2407.257438928467,21.10582775584618,2220902.857558763,0.1580287786606101,296.56067610324675,16.248549524238296,16.248549524238296,292.4738914362893,296.9202922918594
756589959,1,13,5,449.5178553291766,198.0,251.5178553291766,449.5178553291766,194.8689701805209,1849.6792030287606,200.17357982421342,1486542.0277757253,0.09567561438243384,255.1683968527791,1.270292198632205,1.270292198632205,251.5178553291766,256.2808289749469
716679764,1,17,9,684.1163624034863,372.0,312.1163624034863,684.1163624034863,359.6467729497896,10054.017630320759,745.5865610037263,2595860.640260365,0.14656823006408123,327.82715157580395,0.8390224795792642,0.8390224795792642,312.11636240348633,332.5742018609985
