TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
847162421,2,2,10,7923.333379591836
848151556,2,2,10,668467.525355102
848764870,2,2,10,262486.79591836734
850549205,2,2,10,26685.78396734695
850562202,2,2,10,10797.7644
850564755,2,2,10,28448.914089795915
850575936,2,2,10,49706.03784489797
856030354,2,2,10,6721.5798448979585
856030824,2,2,10,8056.809297959184
856065671,2,2,10,1871.1200326530613
860861951,2,2,10,44502.03803265306
863526628,2,2,10,368780.47392653057
868192553,2,2,10,342.2400000000001
869459445,2,2,10,153459.47774693876
929877038,2,2,10,7663.533093877547
943969594,2,2,10,437532.51774693874
943981017,2,2,10,164694.54964081635
1030393072,2,2,10,53830.50452244899
1035064903,2,2,10,32362.08080816327
1035065755,2,2,10,24626.97641632652
1035556462,2,2,10,1137.0578285714278
1037689383,2,2,10,21734.67693061224
1061289615,2,2,10,281699.8290530612
1062867487,2,2,10,6136.7351755102045
1063668113,2,2,10,9752.433395918362
1063721481,2,2,10,324023.52933877544
1064483626,2,2,10,162716.1058285715
1064587225,2,2,10,9447.67836734694
1064614421,2,2,10,151984.56280816326
1064646595,2,2,10,126259.2923755102
1066797131,2,2,10,73457.14354285711
1069872187,2,2,10,18239.75878367347
1085391770,2,2,10,15199.26204081632
1088105426,2,2,10,54884.52743673468
1088112515,2,2,10,215762.08551020405
1088136910,2,2,10,8833.818481632654
1088218093,2,2,10,102962.55558367344
1089781589,2,2,10,136109.22673469386
1089827822,2,2,10,50507.18044081633
1091814217,2,2,10,80083.03154285713
1093205481,2,2,10,28308.813216326525
1093460235,2,2,10,98141.50213061224
1100406492,2,2,10,41967.94680816328
1104772642,2,2,10,30207.752318367355
1105145372,2,2,10,20527.006726530606
1105151446,2,2,10,27366.657959183678
1105152913,2,2,10,16943.5668244898
1107699346,2,2,10,918946.2204408164
1107705014,2,2,10,189728.75366530614
1108166267,2,2,10,77255.43721632652
1178366721,2,2,10,80978.31388571428
1182041425,2,2,10,13865.163787755106
1276335264,2,2,10,423934.53625306115
1285920100,2,2,10,314332.5095183673
1354957437,2,2,10,276360.56306938775
1402591736,2,2,10,38684.17530612246
1556889332,2,2,10,30134.867461224494
1561695466,2,2,10,1987.6033959183674
1574713555,2,2,10,764089.8537469389
1582267634,2,2,10,92653.94555918366
1585619152,2,2,10,43991.06170612248
1594262232,2,2,10,20360.034048979585
1594263670,2,2,10,44153.86346938777
1594271549,2,2,10,17651.452604081634
1617994924,2,2,10,53521.70660408163
1711757436,2,2,10,103778.40407346937
716679764,2,3,10,241759.6935428571
735286989,2,3,10,17537.838171428575
796628327,2,3,10,12985.223012244896
803656013,2,3,10,642704.2908081634
804245827,2,3,10,6722.943763265306
807444298,2,3,10,14978.793297959177
811224241,2,3,10,316119.14105306123
811350832,2,3,10,587666.513012245
811405342,2,3,10,14191.337297959177
813036796,2,3,10,12226.769722448978
815378026,2,3,10,39810.44803265304
821340660,2,3,10,16654.656946938772
821851364,2,3,10,138446.52286530606
824008632,2,3,10,371839.5341306122
824014002,2,3,10,1984.9954612244894
824093461,2,3,10,9130.094399999998
829628090,2,3,10,1867022.7508489795
830443285,2,3,10,26343.698775510198
831771058,2,3,10,244034.79427755103
831990789,2,3,10,334251.8969469389
832793358,2,3,10,273465.2028081633
832928980,2,3,10,24107.297142857147
832932915,2,3,10,297556.72466122446
832947522,2,3,10,54725.161175510206
832962701,2,3,10,607713.6625632653
833085457,2,3,10,49684.490277551
833087665,2,3,10,139015.4378448979
836346869,2,3,10,20370.65841632653
836353167,2,3,10,570612.042865306
837663879,2,3,10,295335.366032653
837668025,2,3,10,390819.3966612244
837717257,2,3,10,2116.9875836734695
842058910,2,3,10,1411723.2838775509
845044335,2,3,10,116954.81433469389
847162421,2,3,10,12417.200522448982
848151556,2,3,10,694275.7451346938
848764870,2,3,10,266110.57511020405
850549205,2,3,10,40490.26523265308
850562202,2,3,10,9971.440089795922
850564755,2,3,10,31443.19327346939
850575936,2,3,10,47917.7316244898
856030354,2,3,10,5821.960946938775
856030824,2,3,10,10300.39884897959
856065671,2,3,10,2727.191706122448
860861951,2,3,10,40680.376685714284
863526628,2,3,10,461201.3763265307
868192553,2,3,10,385.85811428571424
869459445,2,3,10,148447.40486530607
929877038,2,3,10,10837.026767346933
943969594,2,3,10,443274.308277551
943981017,2,3,10,161465.37498775512
1030393072,2,3,10,54583.46510204083
1035064903,2,3,10,28016.232318367343
1035065755,2,3,10,34069.78980408163
1035556462,2,3,10,2028.612244897959
1037689383,2,3,10,22901.373869387753
1061289615,2,3,10,280400.2862367347
1062867487,2,3,10,8380.004440816328
1063668113,2,3,10,13537.405191836733
1063721481,2,3,10,316270.1180326532
1064483626,2,3,10,150909.76633469397
1064587225,2,3,10,11358.005314285712
1064614421,2,3,10,149286.65449795919
1064646595,2,3,10,126230.96404897961
1066797131,2,3,10,72304.42027755103
1069872187,2,3,10,23961.595910204076
1085391770,2,3,10,19742.59803265307
1088105426,2,3,10,44370.7634612245
1088112515,2,3,10,231665.35049795918
1088136910,2,3,10,22055.172008163263
1088218093,2,3,10,123897.14142040817
1089781589,2,3,10,111468.08831836737
1089827822,2,3,10,54552.72845714286
1091814217,2,3,10,69498.93041632653
1093205481,2,3,10,47336.95137959182
1093460235,2,3,10,101312.19673469389
1100406492,2,3,10,47271.15229387755
1104772642,2,3,10,34405.10049795919
1105145372,2,3,10,19593.359706122446
1105151446,2,3,10,29887.896122448976
1105152913,2,3,10,15828.57368163265
1107699346,2,3,10,855063.9432163266
1107705014,2,3,10,202705.22674285714
1108166267,2,3,10,82837.00489795918
1178366721,2,3,10,84697.69244081633
1182041425,2,3,10,21588.203257142857
1276335264,2,3,10,407486.722244898
1285920100,2,3,10,312184.00248163263
1354957437,2,3,10,258901.31013061228
1402591736,2,3,10,39978.1059510204
1556889332,2,3,10,17073.699355102035
1561695466,2,3,10,1677.1327020408164
1574713555,2,3,10,803649.3246938775
1582267634,2,3,10,102373.08678367347
1585619152,2,3,10,71873.72378775514
1594262232,2,3,10,20938.830848979596
1594263670,2,3,10,45300.34183673469
