TEST_ITEM_COMMUNICATIONKEY,BLOCK_SIZE,WINDOW_SIZE,TWIN_NUMBER,MEAN_SAMPLE,MEAN_TEST,BIAS,VARIANCE,CV,RMSE,MAPE,MPE,MAE,WASSERSTEIN
716679764,1,1,9,976.013847093947,553.0,423.013847093947,8673.547531547181,9.54206569329803,20.812126768103294,76.49436656310074,76.49436656310074,423.01384709394705,432.55517416826893
735286989,1,1,7,918.2300320450565,860.0,58.23003204505653,3451.6847998629873,6.398292235098113,9.094994794457714,7.869593072027614,6.770933958727494,67.67850041943748,81.36757204225533
796628327,1,1,8,253.19814307248225,138.0,115.19814307248225,193.64610405213037,5.495963827041834,10.771981736781758,83.47691526991467,83.47691526991467,115.19814307248224,115.69772448645278
803656013,1,1,10,912.7739029615037,239.99999999999997,672.7739029615037,7329.897527325155,9.37963064507007,26.04226457907692,280.3224595672932,280.3224595672932,672.7739029615035,677.5742306201902
804245827,1,1,7,205.22206769818393,144.99999999999997,60.22206769818396,184.0658775578568,6.6109303839060125,7.856931991142568,41.53246048150619,41.53246048150619,60.222067698183984,61.20494652493162
716679764,1,5,9,974.6729258143093,553.0,421.67292581430934,8221.61080435721,9.302925747593116,20.768041945167546,76.25188531904328,76.25188531904328,421.6729258143092,429.9165108382854
735286989,1,5,7,917.3001568571161,860.0,57.30015685711612,3437.240501069768,6.391363121814588,9.054222850476004,7.785574158510182,6.662808936873953,66.95593776318756,77.91489440058847
796628327,1,5,8,252.77439803497447,138.0,114.77439803497447,192.75644512459252,5.492516488377104,10.752258708337056,83.16985364853224,83.16985364853224,114.77439803497451,115.40053426732493
803656013,1,5,10,915.6670395522367,239.99999999999997,675.6670395522367,7279.095531308088,9.317537042679103,26.096596269904424,281.5279331467653,281.5279331467653,675.6670395522366,680.3630232227117
804245827,1,5,7,205.56021261287563,144.99999999999997,60.56021261287566,188.43195791938427,6.67787402687679,7.8801312026520245,41.76566387094876,41.76566387094876,60.56021261287567,61.196875590601415
716679764,1,9,9,974.5012153878339,553.0,421.5012153878339,8348.015966898287,9.375819771045055,20.76752904211456,76.22083460901155,76.22083460901155,421.50121538783384,428.89272839454986
735286989,1,9,7,919.759754146366,860.0,59.75975414636605,3555.3625147501143,6.482873425680623,9.187988747728255,8.022996099895844,6.948808621670458,68.99776645910426,77.71582686253167
796628327,1,9,8,252.08792754667323,138.0,114.08792754667323,194.71021398151754,5.535314728434857,10.720918518710205,82.67241126570524,82.67241126570524,114.08792754667323,114.9661896883491
803656013,1,9,10,913.2097871568344,239.99999999999997,673.2097871568344,7349.079621363165,9.387412868082086,26.050836387671925,280.50407798201445,280.50407798201445,673.2097871568344,677.8678836957711
804245827,1,9,7,205.45486438200146,144.99999999999997,60.45486438200149,192.45941037124138,6.752322044766309,7.875671682130598,41.69300991862172,41.69300991862172,60.45486438200148,61.10693657545863
716679764,1,13,9,980.578947184043,553.0,427.57894718404305,8724.146780885227,9.525305580004867,20.920369476593912,77.3198819500982,77.3198819500982,427.5789471840431,434.81005050581285
735286989,1,13,7,919.6779441509477,860.0,59.677944150947724,3640.440155689526,6.560564004412052,9.21216544628516,8.129783031027689,6.939295831505551,69.91613406683813,75.66114344359909
796628327,1,13,8,251.59133965089083,138.0,113.59133965089083,207.02065097361358,5.718882153475038,10.700418939190225,82.31256496441364,82.31256496441364,113.59133965089082,114.66618228905487
803656013,1,13,10,912.8996716202764,239.99999999999997,672.8996716202764,7429.037151521992,9.441548192340667,26.046062658685006,280.3748631751152,280.3748631751152,672.8996716202764,677.5335376806962
804245827,1,13,7,205.2489464294199,144.99999999999997,60.24894642941993,197.36707274680862,6.84473145001918,7.865443226644276,41.550997537531,41.550997537531,60.24894642941994,60.779438302184246
716679764,1,17,9,982.0455311194487,553.0,429.0455311194487,8616.516403447924,9.452229023829368,20.951663195669198,77.58508700170862,77.58508700170862,429.0455311194486,435.7423551375009
735286989,1,17,7,921.3492321863465,860.0,61.34923218634651,3502.74270508239,6.423619981738857,9.232745960459711,8.139713742597115,7.13363164957518,70.00153818633517,72.9867505793731
796628327,1,17,8,251.09372843487793,138.0,113.09372843487793,207.0919404571462,5.731202231409154,10.677341831974527,81.95197712672314,81.95197712672314,113.09372843487793,114.27229686948368
803656013,1,17,10,916.422445050095,239.99999999999997,676.422445050095,7833.407730959053,9.65783204997181,26.118732624333813,281.84268543753967,281.84268543753967,676.422445050095,681.2861698807591
804245827,1,17,7,204.9647598634576,144.99999999999997,59.96475986345763,210.6166676949051,7.080552879213325,7.854676355774357,41.35500680238457,41.35500680238457,59.96475986345762,60.481859586679406
716679764,1,21,9,980.1823940514146,553.0,427.1823940514146,8776.67441909865,9.55780347680032,20.91254428243257,77.24817252285978,77.24817252285978,427.1823940514145,433.5659326848507
735286989,1,21,7,920.5897485976294,860.0,60.58974859762941,3635.090591088481,6.549248734259606,9.245342645247193,8.120393215474815,7.0453196043755,69.83538165308339,70.3530116658617
796628327,1,21,8,250.30630056965788,138.0,112.30630056965788,200.30976713151958,5.654305655144969,10.639294559172468,81.38137722438977,81.38137722438977,112.30630056965789,113.51710710315294
803656013,1,21,10,914.365853193954,239.99999999999997,674.365853193954,7861.897088632316,9.69714028142702,26.08006862571047,280.98577216414753,280.98577216414753,674.3658531939541,679.2961401162345
804245827,1,21,7,205.59367433178033,144.99999999999997,60.59367433178036,219.68118358354167,7.209193486463285,7.8981061892751345,41.78874091846923,41.78874091846923,60.59367433178037,61.40569292172562
