TEST_ITEM_COMMUNICATIONKEY,BLOCK_SIZE,WINDOW_SIZE,TWIN_NUMBER,MEAN_SAMPLE,MEAN_TEST,BIAS,VARIANCE,CV,RMSE,MAPE,MPE,MAE,WASSERSTEIN
716679764,1,1,9,974.9992,553.0,421.9992,11599.574314222842,11.046298287008947,20.869259756874584,76.31088607594937,76.31088607594937,421.9992,430.13106607172654
735286989,1,1,7,917.6254,860.0,57.62540000000001,5661.851045049014,8.19999888582889,9.735309501374012,8.78439534883721,6.700627906976744,75.5458,74.94181609755664
796628327,1,1,8,253.7156,138.0,115.7156,531.0861338667719,9.083125402434918,10.86223165787,83.85188405797102,83.85188405797102,115.7156,116.06678594671259
803656013,1,1,10,909.5558,240.0,669.5558,12724.834253210598,12.402142569445965,26.057470237032014,278.98158333333333,278.98158333333333,669.5558,676.4310646326054
804245827,1,1,7,204.8206,145.0,59.82060000000001,597.2674691338268,11.931932737374217,8.038669720465212,41.274068965517245,41.25558620689655,59.8474,60.73144984272976
716679764,1,5,9,971.6706,553.0,418.67060000000004,10982.40937751554,10.785238460621441,20.774676041754834,75.7089692585895,75.7089692585895,418.6706,425.3133092203911
735286989,1,5,7,917.4648,860.0,57.46479999999997,6044.023965753147,8.473711583953914,9.832389709583088,8.90260465116279,6.681953488372095,76.5624,70.7216204565478
796628327,1,5,8,253.3358,138.0,115.3358,544.6291641928321,9.211998966577315,10.847726683411594,83.57666666666667,83.57666666666667,115.3358,116.12181965505019
803656013,1,5,10,913.4724,240.0,673.4724,13997.934425125035,12.951991400401361,26.149298097841758,280.6135,280.6135,673.4724,681.4429780986815
804245827,1,5,7,205.021,145.0,60.02099999999999,655.5256641328268,12.48810386406362,8.077976583355005,41.41337931034483,41.39379310344828,60.0494,60.85202379543346
716679764,1,9,9,975.506,553.0,422.506,11633.662696539332,11.056770340358902,20.88195798387489,76.40253164556961,76.40253164556961,422.506,428.38472218322636
735286989,1,9,7,922.0606,860.0,62.06060000000002,6140.381804000799,8.498420638912684,9.997974353686866,9.202348837209302,7.216348837209302,79.1402,75.0189362761163
796628327,1,9,8,251.3978,138.0,113.39779999999999,546.3304212442478,9.29750068761659,10.76018839391451,82.17231884057972,82.17231884057972,113.3978,114.71655678235814
803656013,1,9,10,911.981,240.0,671.981,13786.585556111178,12.874861614222857,26.118231961723016,279.99208333333337,279.99208333333337,671.981,679.4736406955019
804245827,1,9,7,204.9306,145.0,59.9306,665.8597555911168,12.591705913045113,8.0777349125439,41.36510344827587,41.33144827586207,59.9794,60.388071669825656
716679764,1,13,9,978.7646,553.0,425.7646,11563.775141868347,10.986808775452026,20.955540626130645,76.99179023508137,76.99179023508137,425.7646,431.58188794248537
735286989,1,13,7,921.8002,860.0,61.80020000000002,6063.747029365864,8.447607739747257,9.970623746027254,9.219697674418606,7.186069767441861,79.2894,73.08400645832164
796628327,1,13,8,251.0364,138.0,113.03639999999999,535.4669684336875,9.217850165817914,10.741538590704142,81.9104347826087,81.9104347826087,113.0364,114.27820264599895
803656013,1,13,10,913.878,240.0,673.878,14822.432002400445,13.32206384877867,26.168445724648343,280.78249999999997,280.78249999999997,673.878,681.7261065853354
804245827,1,13,7,204.925,145.0,59.92500000000001,680.1217993598822,12.726190026770858,8.084173619940321,41.35903448275863,41.32758620689655,59.9706,60.527055107612824
716679764,1,17,9,982.3586,553.0,429.3586,11515.441894418876,10.92371227762452,21.037241527033252,77.64169981916818,77.64169981916818,429.3586,434.2410731379518
735286989,1,17,7,919.689,860.0,59.688999999999965,6350.231525305063,8.664705129480899,9.978180753468687,9.09993023255814,6.940581395348837,78.2594,69.29846462945626
796628327,1,17,8,250.34,138.0,112.34,549.6887377475497,9.365439692591139,10.712631098229572,81.40579710144928,81.40579710144928,112.34,113.52738876588327
803656013,1,17,10,915.8708,240.0,675.8708,14707.75445825165,13.241554503152603,26.20429729997205,281.61283333333336,281.61283333333336,675.8708,682.4691689739544
804245827,1,17,7,205.1476,145.0,60.14760000000001,706.2674677335441,12.954425581890264,8.109077532144491,41.5153103448276,41.48110344827586,60.1972,60.85995070651963
716679764,1,21,9,981.6128,553.0,428.6128,11890.506577475491,11.1086162928788,21.030127279821077,77.50683544303797,77.50683544303797,428.6128,434.93799052278706
735286989,1,21,7,924.433,860.0,64.43299999999999,6254.872085417078,8.55527109863031,10.100107606255337,9.450953488372091,7.4922093023255805,81.2782,68.91008924678592
796628327,1,21,8,249.8264,138.0,111.8264,546.0290688537714,9.353400961173808,10.68839228809588,81.0336231884058,81.0336231884058,111.8264,112.51569757149444
803656013,1,21,10,914.324,240.0,674.324,14427.284080816145,13.136878160380663,26.17132125752957,280.96833333333336,280.96833333333336,674.324,681.4386804401405
804245827,1,21,7,205.8424,145.0,60.8424,733.7979218243627,13.15992462718148,8.16089866150239,41.988965517241375,41.960275862068954,60.884,61.64560649389379
716679764,1,25,9,983.4538,553.0,430.4538,11533.724610482062,10.920205874711478,21.062970666182824,77.83974683544304,77.83974683544304,430.4538,435.4389741398902
735286989,1,25,7,920.9034,860.0,60.90340000000003,6465.1719028205625,8.731240723156558,10.043316743900139,9.297790697674419,7.0817906976744185,79.961,66.15816956355428
796628327,1,25,8,250.099,138.0,112.09899999999999,560.9805951190244,9.47026134600825,10.703917362890266,81.23115942028986,81.23115942028986,112.099,113.11006321278403
803656013,1,25,10,917.4406,240.0,677.4406,14937.807233086665,13.32187855044012,26.23694901562013,282.26691666666665,282.26691666666665,677.4406,684.5567945758773
