TEST_ITEM_COMMUNICATIONKEY,BLOCK_SIZE,WINDOW_SIZE,TWIN_NUMBER,MEAN_SAMPLE,MEAN_TEST,BIAS,RESAMPLING_MEAN_TWIN,RESAMPLING_MEAN_TEST,RESAMPLING_VARIANCE_TWIN,RESAMPLING_VARIANCE_TEST,TARGET_VARIANCE,CV,RMSE,MAPE,MPE,MAE,WASSERSTEIN,MAX_TWIN_NUM
716679764,1,1,1,860.6920383795481,372.0,488.6920383795481,860.6920383795481,364.4673568864431,446.3069474209912,239.91484474639233,18494004.82541407,0.024545339193101007,489.1484593893542,1.313688275213839,1.313688275213839,488.69203837954814,496.2567784475445,1
718909161,1,1,1,253.31081709027256,426.0,-172.68918290972744,253.31081709027256,420.969274278803,154.25163492094381,325.66631534474465,2283870.1629122333,0.04902991633086319,173.135223247467,0.4053736688021771,-0.4053736688021771,172.68918290972744,167.75305332022768,1
735286989,1,1,1,241.96333188324857,530.0,-288.03666811675146,241.96333188324857,529.1055637188114,131.9858880639504,438.66270714630593,5935507.1299103955,0.04748038078355259,288.26569006363485,0.5434654115410403,-0.5434654115410403,288.0366681167514,287.297998220885,1
752591985,1,1,1,240.52050073740108,18.0,222.52050073740108,240.52050073740108,19.974699952992975,149.673356299289,8.108626402073062,4013336.3434455134,0.05086512889962162,222.85656060507395,12.362250040966726,12.362250040966726,222.52050073740108,220.746054143114,1
756589959,1,1,1,559.016007355291,198.0,361.016007355291,559.016007355291,194.5305020607204,346.8272776419765,101.15447969881468,9547350.733712701,0.03331442942080639,361.49603710745913,1.8233131684610653,1.8233131684610653,361.0160073552909,364.5862631350257,1
796628327,1,1,1,317.4904760091327,138.0,179.4904760091327,317.4904760091327,138.48374271040376,268.3512340689522,67.07723417657154,1427919.3600044781,0.05159660143169741,180.23646193834918,1.300655623254585,1.300655623254585,179.49047600913272,179.19432046468813,1
803582159,1,1,1,510.84718908386225,159.0,351.84718908386225,510.84718908386225,159.47689189040904,422.5781939990606,85.21211162010847,5460175.659300088,0.04024042263132737,352.4471913070299,2.2128754030431583,2.2128754030431583,351.84718908386225,351.5529355374808,1
803603891,1,1,1,86.51473879956811,95.0,-8.485261200431893,86.51473879956811,94.97771298185745,48.922051382483886,59.009273210461416,15989.2431595144,0.08084668719588116,10.996440743351403,0.09723048609029569,-0.08931853895191472,9.236896178578093,8.496122650600027,1
806267522,1,1,1,1047.3598998008315,237.0,810.3598998008315,1047.3598998008315,235.5284777267005,1419.4013671459325,173.84447891404446,84237117.42205109,0.03597134423366499,811.2352116201315,3.419240083547812,3.419240083547812,810.3598998008315,812.2008348309352,1
807443786,1,1,1,69.55028603660217,146.0,-76.44971396339783,69.55028603660217,146.43942202209243,35.89867858760052,140.42409773246067,274306.9481052144,0.08614703031486626,76.6841407572188,0.523628177831492,-0.523628177831492,76.44971396339783,77.11280984851496,1
807444058,1,1,1,226.9262895650408,245.99999999999997,-19.073710434959168,226.9262895650408,246.7890294538357,136.33540447398872,135.172332275875,40211.72367982941,0.0514540439758422,22.36385105992836,0.07955682299217537,-0.07753540827219163,19.570978456075135,19.864244598253354,1
807444298,1,1,1,296.5712219032333,384.0,-87.42877809676668,296.5712219032333,382.05190376890414,266.3831671640661,328.4062182304343,347699.24209713336,0.05503315136737194,88.9391612657649,0.2276791096269965,-0.2276791096269965,87.42877809676665,85.5001367173226,1
811224241,1,1,1,911.9070920569699,1207.0,-295.0929079430301,911.9070920569699,1204.2922473527149,771.8730137175797,1397.8112066414387,3861610.949007819,0.030466483876220363,296.3978699855841,0.2444845964730987,-0.2444845964730987,295.0929079430301,292.54313351618686,1
811405342,1,1,1,888.8302714428107,690.0,198.83027144281073,888.8302714428107,688.972101409307,770.7333645808461,505.93502121066723,3256901.9826882742,0.03123440538715042,200.759084991446,0.2881598136852331,0.2881598136852331,198.8302714428108,199.9279864232181,1
811408901,1,1,1,1771.9517105191578,1260.0,511.9517105191578,1771.9517105191578,1258.8354367790025,3485.794212094267,2376.1513302577814,29104671.808597002,0.03331953945817302,515.3448826907917,0.4063108813644111,0.4063108813644111,511.9517105191579,513.2199316525121,1
811579051,1,1,1,1660.9072764111436,633.0,1027.9072764111436,1660.9072764111436,633.2897395207812,2309.993635495022,390.9195976095507,46545196.40263157,0.02893743307322211,1029.0303020487152,1.6238661554678415,1.6238661554678415,1027.9072764111438,1028.0069833655114,1
813036796,1,1,1,355.96090152930805,168.0,187.96090152930805,355.96090152930805,168.47040245541604,225.13456079352378,96.08097635344707,1562831.6920260978,0.042152058343784445,188.55883714242555,1.1188148900554051,1.1188148900554051,187.96090152930805,187.56292005322263,1
822088318,1,1,1,,217.0,,,217.40788075957724,,196.87864715530827,0.0,,,,,,,1
824003149,1,1,1,1299.1473220236974,124.0,1175.1473220236974,1299.1473220236974,123.94798523600605,1565.0562629011945,69.82095802632416,60770821.40247703,0.030451351682497022,1175.8130313627114,9.476994532449172,9.476994532449172,1175.1473220236974,1175.613614995134,1
824008632,1,1,1,214.48606518494046,125.0,89.48606518494046,214.48606518494046,124.97137132463057,130.47233854440418,69.31252028146042,357723.9580794133,0.05325496962127754,90.21212890087351,0.7158885214795234,0.7158885214795234,89.48606518494044,89.56888319105397,1
824014002,1,1,1,431.47321949459274,181.0,250.47321949459274,431.47321949459274,181.4688066721963,403.57972256827975,96.53038872172573,6197829.514878238,0.046559769696676474,251.27756248132206,1.3838299419590758,1.3838299419590758,250.47321949459274,250.21523336739781,1
