TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
1108166267,2,2,10,72920.31204237748
1178366721,2,2,10,77736.20048257949
1182041425,2,2,10,14943.205157717213
1276335264,2,2,10,354422.856182099
1285920100,2,2,10,314214.59225133836
1354957437,2,2,10,245400.1268151273
1402591736,2,2,10,30796.36411228231
1556889332,2,2,10,37095.57329580435
1561695466,2,2,10,1782.8724120346212
1574713555,2,2,10,771413.7818190177
1582267634,2,2,10,96918.02854151267
1585619152,2,2,10,45948.53597244377
1594262232,2,2,10,22821.44317715212
1594263670,2,2,10,53193.33871139594
1594271549,2,2,10,16594.774463959846
1617994924,2,2,10,58749.441933128976
1711757436,2,2,10,94650.40757131141
716679764,2,3,10,204818.3820077368
735286989,2,3,10,17125.33789903835
796628327,2,3,10,13885.7842038482
803656013,2,3,10,618457.94358482
804245827,2,3,10,7951.790207548023
807444298,2,3,10,12842.841345578347
811224241,2,3,10,329701.0705694257
811350832,2,3,10,579140.0478580693
811405342,2,3,10,13487.772920062493
813036796,2,3,10,12835.191338982682
815378026,2,3,10,31877.567659610282
821340660,2,3,10,20348.46333598707
821851364,2,3,10,145667.25840195478
824008632,2,3,10,333094.4974691649
824014002,2,3,10,1895.6447234954085
824093461,2,3,10,10260.72778443569
829628090,2,3,10,1739476.6239173282
830443285,2,3,10,27412.12058955924
831771058,2,3,10,236931.30685507972
831990789,2,3,10,285471.1019670892
832793358,2,3,10,289900.1569098047
832928980,2,3,10,19652.492281644078
832932915,2,3,10,282009.4765911122
832947522,2,3,10,54259.72628201243
832962701,2,3,10,611261.5465701572
833085457,2,3,10,54703.74324409692
833087665,2,3,10,155192.03685074302
836346869,2,3,10,18710.501758165457
836353167,2,3,10,600752.0811050017
837663879,2,3,10,295195.67745915614
837668025,2,3,10,371641.65949900553
837717257,2,3,10,2281.0008689922442
842058910,2,3,10,1436067.4947316356
845044335,2,3,10,119038.95718455047
847162421,2,3,10,11895.43973639337
848151556,2,3,10,676361.2488771229
848764870,2,3,10,261514.26141637177
850549205,2,3,10,32738.601489648947
850562202,2,3,10,12078.62608790769
850564755,2,3,10,37747.033596584064
850575936,2,3,10,53559.73440926099
856030354,2,3,10,5863.38902372082
856030824,2,3,10,7764.488988051346
856065671,2,3,10,3175.456189686315
860861951,2,3,10,43967.1004416494
863526628,2,3,10,412687.7609076868
868192553,2,3,10,499.1887812719554
869459445,2,3,10,141937.283926951
929877038,2,3,10,9120.994411654658
943969594,2,3,10,439835.58637923875
943981017,2,3,10,173630.6800278879
1030393072,2,3,10,52412.69174335759
1035064903,2,3,10,30176.294240252908
1035065755,2,3,10,29253.78934630283
1035556462,2,3,10,1684.766926798673
1037689383,2,3,10,29168.638693802466
1061289615,2,3,10,283291.1853333585
1062867487,2,3,10,9708.359694416911
1063668113,2,3,10,11850.216532942186
1063721481,2,3,10,331390.10517101974
1064483626,2,3,10,159675.78635544862
1064587225,2,3,10,10201.257418203742
1064614421,2,3,10,152029.4998715606
1064646595,2,3,10,129995.30970415898
1066797131,2,3,10,70799.77116191499
1069872187,2,3,10,20187.523290362802
1085391770,2,3,10,16772.523683576364
1088105426,2,3,10,50186.90197106762
1088112515,2,3,10,205499.93717575798
1088136910,2,3,10,16499.996020660343
1088218093,2,3,10,122345.49939386346
1089781589,2,3,10,136119.53128732133
1089827822,2,3,10,48470.31186139381
1091814217,2,3,10,82654.32769778174
1093205481,2,3,10,41110.18504700915
1093460235,2,3,10,107659.06307689878
1100406492,2,3,10,46316.735383449384
1104772642,2,3,10,31558.92572256397
1105145372,2,3,10,20123.85769769211
1105151446,2,3,10,30400.190533065776
1105152913,2,3,10,15641.677619470227
1107699346,2,3,10,909543.698222432
1107705014,2,3,10,191228.68415561004
1108166267,2,3,10,78760.94944285133
1178366721,2,3,10,80506.03225773227
1182041425,2,3,10,19512.71038230529
1276335264,2,3,10,359440.4059911573
1285920100,2,3,10,314484.45662153076
1354957437,2,3,10,252531.0518252622
1402591736,2,3,10,37425.14118125198
1556889332,2,3,10,40929.99094519543
1561695466,2,3,10,2379.5764486324665
1574713555,2,3,10,790989.9659841552
1582267634,2,3,10,117166.61512534514
1585619152,2,3,10,52732.70742077531
1594262232,2,3,10,28111.407112067398
1594263670,2,3,10,61009.319418975894
1594271549,2,3,10,23158.789551076654
1617994924,2,3,10,61167.96423042953
1711757436,2,3,10,97474.98328648461
716679764,2,4,10,212103.2623734571
735286989,2,4,10,20220.596295800795
796628327,2,4,10,13668.365039224807
803656013,2,4,10,629219.9706051371
804245827,2,4,10,8097.371754355843
807444298,2,4,10,13138.161718727526
811224241,2,4,10,332951.95278598025
811350832,2,4,10,584315.5693617486
811405342,2,4,10,15688.069639216868
813036796,2,4,10,13230.754374979784
815378026,2,4,10,36821.18953848317
821340660,2,4,10,21438.715914693537
821851364,2,4,10,159662.68177503688
824008632,2,4,10,338827.5786859261
824014002,2,4,10,2206.182533826443
824093461,2,4,10,10870.260428984759
